host-relay init
host-TS init
SEMA4_mod init
host-shm init
host-create init
key:800  id:16711683  ptr:e5470000
finish init shmem
Start tracing......
tb total cycle cnt = 3780, load = 0, store = 0
tb total cycle cnt = 3790, load = 0, store = 0
tb total cycle cnt = 3800, load = 0, store = 0
tb total cycle cnt = 3810, load = 0, store = 0
tb total cycle cnt = 3820, load = 0, store = 0
tb total cycle cnt = 3830, load = 0, store = 0
tb total cycle cnt = 3840, load = 0, store = 0
tb total cycle cnt = 3850, load = 0, store = 0
tb total cycle cnt = 3860, load = 0, store = 0
tb total cycle cnt = 3870, load = 0, store = 0
tb total cycle cnt = 3880, load = 0, store = 0
tb total cycle cnt = 3890, load = 0, store = 0
tb total cycle cnt = 3900, load = 0, store = 0
tb total cycle cnt = 3910, load = 0, store = 0
tb total cycle cnt = 3920, load = 0, store = 0
tb total cycle cnt = 3930, load = 0, store = 0
tb total cycle cnt = 3940, load = 0, store = 0
tb total cycle cnt = 3950, load = 0, store = 0
tb total cycle cnt = 3960, load = 0, store = 0
tb total cycle cnt = 3970, load = 0, store = 0
tb total cycle cnt = 3980, load = 0, store = 0
tb total cycle cnt = 3990, load = 0, store = 0
tb total cycle cnt = 4000, load = 0, store = 0
tb total cycle cnt = 4010, load = 0, store = 0
tb total cycle cnt = 4020, load = 0, store = 0
tb total cycle cnt = 4030, load = 0, store = 0
tb total cycle cnt = 4040, load = 0, store = 0
tb total cycle cnt = 4050, load = 0, store = 0
tb total cycle cnt = 4060, load = 0, store = 0
tb total cycle cnt = 4070, load = 0, store = 0
tb total cycle cnt = 4080, load = 0, store = 0
tb total cycle cnt = 4090, load = 0, store = 0
tb total cycle cnt = 4100, load = 0, store = 0
tb total cycle cnt = 4110, load = 0, store = 0
tb total cycle cnt = 4120, load = 0, store = 0
tb total cycle cnt = 4130, load = 0, store = 0
tb total cycle cnt = 4140, load = 0, store = 0
tb total cycle cnt = 4150, load = 0, store = 0
tb total cycle cnt = 4160, load = 0, store = 0
tb total cycle cnt = 4170, load = 0, store = 0
tb total cycle cnt = 4180, load = 0, store = 0
tb total cycle cnt = 4190, load = 0, store = 0
tb total cycle cnt = 4200, load = 0, store = 0
tb total cycle cnt = 4210, load = 0, store = 0
tb total cycle cnt = 4220, load = 0, store = 0
tb total cycle cnt = 4230, load = 0, store = 0
tb total cycle cnt = 4240, load = 0, store = 0
tb total cycle cnt = 4250, load = 0, store = 0
tb total cycle cnt = 4260, load = 0, store = 0
tb total cycle cnt = 4270, load = 0, store = 0
tb total cycle cnt = 4280, load = 0, store = 0
tb total cycle cnt = 4290, load = 0, store = 0
tb total cycle cnt = 4300, load = 0, store = 0
tb total cycle cnt = 4310, load = 0, store = 0
tb total cycle cnt = 4320, load = 0, store = 0
tb total cycle cnt = 4330, load = 0, store = 0
tb total cycle cnt = 4340, load = 0, store = 0
tb total cycle cnt = 4350, load = 0, store = 0
tb total cycle cnt = 4360, load = 0, store = 0
tb total cycle cnt = 4370, load = 0, store = 0
tb total cycle cnt = 4380, load = 0, store = 0
tb total cycle cnt = 4390, load = 0, store = 0
tb total cycle cnt = 4400, load = 0, store = 0
